eq_count,eq_max_magnitude,eq_avg_magnitude,eq_recent_hours,flood_count,flood_severity_score,weather_max_precip,weather_max_wind_gust,weather_max_wind_speed,weather_high_count,weather_locations_monitored,risk_score,risk_level
0,0.0,0.0,999.0,0,0.0,14.30856599924553,9.196914347773749,4.858299474493836,0,7,0.45,LOW
0,0.0,0.0,999.0,2,35.267367205300516,0.4226178407868493,21.335354420359394,14.788804370928167,0,6,33.38,HIGH
3,2.6648390813023446,1.9164061723500072,39.72629625564394,0,0.0,7.484315698881745,8.353645583184806,6.609482970820213,0,7,0.0,LOW
3,3.315975440736878,2.3647584719844867,7.405895619242296,0,0.0,2.3320814169589275,23.963102863476596,14.32388740351639,0,11,2.38,LOW
2,3.118900050588028,2.6283328709529314,10.891648754442437,0,0.0,8.002214550191301,25.86295979368861,18.364758350246532,0,3,0.0,LOW
0,0.0,0.0,999.0,0,0.0,1.680294721418539,9.814042865540486,5.318482492182496,0,5,2.38,LOW
3,4.867102320184882,4.436605239257304,37.474993489054455,0,0.0,2.3865375234434136,10.420133344023693,5.568092263455551,0,10,4.62,LOW
0,0.0,0.0,999.0,0,0.0,31.859296774558665,36.599903521651456,24.378237557522613,0,8,29.82,MEDIUM
2,3.6184895574872975,2.976419679616722,40.96334751687198,0,0.0,0.2985043272223568,18.872333526841608,11.098406558812282,0,6,3.07,LOW
0,0.0,0.0,999.0,0,0.0,7.8839642858634535,9.331744920257076,6.944741637006432,0,5,0.0,LOW
1,5.589867744690068,4.687457210699753,7.741045393612886,0,0.0,1.1236047328090608,33.77438662777469,21.407789678180936,0,4,20.9,MEDIUM
0,0.0,0.0,999.0,0,0.0,0.45443219335413565,12.553396976781737,9.899223458629656,0,6,1.4,LOW
0,0.0,0.0,999.0,0,0.0,6.707352593049592,32.759005926497636,23.42488594984108,0,10,0.0,LOW
2,6.360851291061664,5.322333464230191,9.713441510171055,0,0.0,5.804996281042555,11.207586140307052,8.483966583548353,0,3,36.54,HIGH
0,0.0,0.0,999.0,0,0.0,7.136525620157793,11.817174973998242,6.2079554825402905,0,9,0.63,LOW
1,4.249018458675191,3.158538704937701,4.963342450682479,0,0.0,4.8467949572027464,27.32109184685935,18.423113353348256,0,7,0.0,LOW
